Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
csc,3.2f,-m2 -d320,½*,2,5,840 353 904,25.5,451.81,100,110.08,99,9m 22s,449,515/179,243,197/432,67,77/27,840 281 042,457,327
bsc,2.2.5,-b25 -m3 -pl,,6,14,977 302 263,29.6,211.25,369,146.5,362,5m 58s,154,241/29,242,267/205,5,8/1,977 211 578,505,504
bsc,2.1.5,-m3,½,4,14,972 352 989,29.5,216.29,369,147.59,362,6m  4s,160,248/31,242,265/207,6,9/1,972 132 016,505,504
bsc,2.2.0,-m3,½,4,15,977 301 146,29.6,211.84,370,149.72,360,6m  2s,152,240/29,239,266/201,5,8/1,977 211 578,505,504
csc,3.2a3,-m3 -d9,**,3,3,844 735 382,25.6,484.41,100,85.75,100,9m 30s,422,458/219,236,181/546,60,65/31,844 645 867,519,325
winrar,4.00b3,-m1,,9,14,1 197 673 704,36.3,120.44,99,56.36,98,2m 57s,27,36/7,235,225/256,0,0/0,1 197 580 008,36,8
bsc,2.4.5,-b25 -m3 -p,,7,14,990 078 603,30,216.49,370,137.59,364,5m 54s,135,204/27,234,250/210,4,6/1,989 987 918,505,506
flashzip,0.99b8,-m0 -c7 -b7,,6,11,893 464 978,27.1,343.67,100,149.7,100,8m 13s,284,375/73,232,217/266,23,31/6,893 345 377,373,356
bsc,2.0.0,-m3,½,4,14,972 351 623,29.5,229.97,386,153.34,387,6m 23s,152,233/30,229,249/200,5,8/1,972 130 960,505,504
flashzip,0.99b8,-m2 -c4 -b7,,6,10,884 226 017,26.8,387.89,100,140.8,100,8m 49s,293,369/86,223,198/292,27,34/8,884 106 416,319,300
csc,3.2a,-m2 -d9,,7,5,880 866 077,26.7,457.15,100,82.56,99,9m  0s,298,325/152,221,170/503,28,31/14,880 777 288,422,325
bsc,2.3.0,-b25 -m3 -p,,8,16,990 078 603,30,217.45,371,156.87,366,6m 14s,128,203/24,221,248/184,4,6/1,989 987 918,505,504
pigz,2.1.4,-9,*,10,3,1 222 860 558,37.1,153.58,391,18.65,167,2m 52s,21,22/15,221,162/712,0,0/0,1 222 794 786,6,2
bsc,1.0.3,-m3 -b26,,5,16,942 297 200,28.6,273.08,390,169.53,388,7m 23s,184,275/37,220,232/200,9,13/2,942 087 689,504,509
bsc,2.4.5,-b25 -m3 -psrl,,8,12,945 626 052,28.7,298.98,370,139.75,352,7m 19s,179,242/44,219,210/239,8,11/2,945 535 367,503,482
bsc,2.2.5,-b25 -m3 -p,,9,17,990 078 603,30,224.61,371,156.9,365,6m 22s,125,196/24,217,241/184,4,6/1,989 987 918,505,504
winrar,3.93,-m1,,8,14,1 197 649 640,36.3,119.98,99,72.45,98,3m 12s,25,37/5,216,225/199,0,0/0,1 197 580 008,35,8
gzip,1.3.3,-3,,7,7,1 290 993 418,39.1,105.33,100,35.31,100,2m 21s,12,15/4,216,188/300,0,0/0,1 290 956 385,2,2
gzip,1.3.3,-1,,7,8,1 337 363 680,40.5,84.57,100,36.29,100,2m  1s,8,11/2,215,201/250,0,0/0,1 337 326 647,2,2
bsc,2.2.0,-p -m3,,7,16,990 077 486,30,225.87,371,159.45,365,6m 25s,124,195/23,215,239/181,4,6/1,989 987 918,505,504
bsc,2.1.5,-p -m3,,10,18,990 202 447,30,226.49,372,158.75,367,6m 25s,124,194/23,215,238/182,4,5/1,989 981 474,505,504
bsc,1.0.3,-p -m2 -b26,,5,20,1 008 265 956,30.6,180.31,384,182.79,383,6m  3s,108,200/17,215,282/149,2,5/0,1 008 056 445,540,525
bsc,2.3.0,-b25 -m3 -psrl,,7,14,945 626 052,28.7,298.7,369,153.48,353,7m 32s,173,242/40,213,210/218,8,11/2,945 535 367,500,504
csc,3.2f,-m3 -d320,½*,3,4,801 503 240,24.3,619.56,100,114.58,99,12m 14s,530,579/264,212,164/472,122,133/61,801 430 378,457,327
